url,address,name,online_order,book_table,Dining(rate),Delivery(rate),Dining(votes),Delivery(votes),phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),reviews_list,menu_item,listed_in(type),listed_in(city)
https://www.zomato.com/mumbai/hugs-mugs-kharghar-navi-mumbai," Bhoomi Tower, Simran Residency Service Road, Kharghar, Navi Mumbai, Maharashtra 410210",Hugs & Mugs,Yes,Yes,4.2,4.1,1073,5665,"9324412141 , 8080412141","Kharghar, Navi Mumbai",Cafe,"Recommended ,Cakes ,All Day Breakfast ,Sweet Something ,Tea Time Cake And Cookies ,Cheese Cake Pastry ,I Like Big Cups And I Cannot Lie ,Green Tea ,Lets Chilli ,Sing The Salad Ballad ,Small Bites  ,Grilled ,Between Breads ,Love At First Slice ,Pasta ,Fusion Meal ,Grill It And Sizzle It ,High Protein Steaks ,Exclusive Combos ,Beverage Combos ,Dessert Combos .","Cafe, Italian, Continental, Fast Food, Bakery, Beverages, Desserts, Rolls","?1,000 for two people (approx.)","Had been there for breakfast. Tried sandwich, Paneer Bhurji + Toast , Cheeze garlic bread. Everything was tasty, portion was good and filling. Must try place if you are in or nearby Kharghar .2 .Packing can be better . 3.One of my favourite places in Kharghar. Awesome sandwiches . Their grilled chicken sandwich is very good .their pasta is also cheesy . Ambience is very cosy and friendly .",,Cafe,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/theobroma-kharghar-navi-mumbai,"Bhumi Tower, Plot 28, Shop 12, Sector 4, Kharghar, Navi Mumbai",Theobroma,Yes,No,N/A,4.4,N/A,2889,8182881881,"Kharghar, Navi Mumbai",Cafe,"Recommended ,Combos ,Brownies ,Cakes ,Pastries ,Desserts & Cupcakes ,Breads ,Tea Cakes ,Biscuits, Cookies & Crackers ,Sandwiches, Wraps & Rolls ,Croissants & Danishes ,Chocolates ,Puffs & Quiches ,Hot Beverages ,Cold Beverages .","Bakery, Fast Food, Rolls, Desserts, Beverages",?150 for one order (approx.),Bad packaging and Handling By Zomato . 2. Good Quality Brownies delivered .3. the delivery partner was very helpful. Gave an amazing service. thank you.,,Cafe,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/noto-healthy-ice-cream-kharghar-navi-mumbai/order,"Shop 39, Plot 28, Sector 4, Near Bhoomi Tower, Kharghar, Navi Mumbai",NOTO- Healthy ice cream,Yes,No,N/A,4,N/A,26,9004394092,"Kharghar, Navi Mumbai",,"Recommended ,Valentine's Day Limited Edition,Syrups - Zero Sugar, Low Calorie ,Mini Bites Zero Added Sugar,Vegan Ice Cream - Zero Added Sugar,Ice Cream - Low Calorie, High Protein 125ml ,Ice Cream - Low Calorie, High Protein 500ml ,Popsicles - Low Calorie, No Added Sugar .","Ice Cream, Desserts",?100 for one order (approx.),its just wowwwwww… 2. i add on a wishing card with this delivery but my hubby didn't get any card with it.I doesn't expect this from u . 3. ,,Delivery,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/a1-famous-dum-biryani-1-kharghar-navi-mumbai,"Shop 21, 22, 23, Hard Rock CHS, Sector 7, Kharghar, Navi Mumbai",A1 Famous Dum Biryani,Yes,No,3,3.7,443,6837,"9967772183 ,  8080805861 , 8767033384","Kharghar, Navi Mumbai",Mughlai restaurant,"Recommended ,Papad ,Rice & Biryani ,Noodles ,Starters ,Roasted Starter & Roll,Chicken Main Course Gravy ,Mutton Main Course Gravy ,Egg Main Course Gravy ,Sea Food Main Course Gravy ,Soups ,Sizzlers ,Family Pack & Party Order ,Veg Main Course Gravy ,Roti & Naan .","Mughlai, North Indian, Chinese",?700 for two people (approx.),"Biryani rice was very hard n food was cold didn’t enjoy sheer waste of money . 2. Biryani was just ok,spices are more than rice.i will not recommended to ant to buy from there . 3. rice was not cooked properly",,Dine-in ,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/the-tent-house-restaurant-kharghar-navi-mumbai,"Shop 21, Plot 28, Bhoomi Tower, Sec-4, Kharghar, Navi Mumbai",The Tent House Restaurant,Yes,No,3.2,3.9,7,181,9.18E+11,"Kharghar, Navi Mumbai",Restaurant,"Recommended,Soups ,Starters ,Main Course,Rice and Biryani,Fried Rice and Noodles ,Snacks ,Accompaniments .","Chinese, Biryani, North Indian",?200 for two people (approx.),"From the ordering and preparing…I called restaurant as my order was running late…restaurant didn’t picked my phone, not that from zomato. Also the food delivered, was not hot, shockingly bad experience?? . 2.excellent quality food but a little expensive. 3. overall good experience.. will order again .",,Dine-in ,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/myo-shake-kharghar-navi-mumbai/reviews,"Shop 7, Dhanshree CHS, Near Kamdhenu, Kharghar, Navi Mumbai",Myo Shake,Yes,No,N/A,3.3,N/A,217,9.19E+11,"Kharghar, Navi Mumbai",Italian Beverages,"Recommended ,Combination of fruits juices ,Chocolate Shakes ,Fruit Shakes ,Mocktails, mojito, Smoothies ,Burger and Sandwich ,Quick Bites ,Jars.","Beverages, Juices, Shake",?300 for two people (approx.),"I have ordered kiwi and virgin mojito, but these people sent both virgin mojito only.

and the taste very bad it's not virgin mojito also, waste of money . 2. Sugar was added even after instructions of not adding anything. 3. pls reduce water ratio.",,Dine-in ,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/village-12-20-pure-veg-kharghar-navi-mumbai,"Shop 19-23, Plot 1, Manomay CHS, Sector 35D, Kharghar, Navi Mumbai",Village 12-20 Pure Veg,Yes,No,4.2,3.9,839,10300,"912230151746 ,  +918850108464  ,  +918850121804","Kharghar, Navi Mumbai",Vegetarian restaurant,"Recommended,Combos ,Breakfast ,Soups and Salads ,Starters ,Indian Main Course,Oriental Main Course ,Breads ,Rice and Biryani ,Rice From The Globe ,Continental Dishes ,Fried Rice and Noodles ,Chinese ,Pizza and Pasta ,Baked Dishes ,Sides ,Accompaniments ,Desserts and Beverages .","North Indian, Chinese, South Indian, Fast Food, Continental, Mexican, Shake",?800 for two people (approx.),"I ordered two watermelon juice
But I got only one

Here I can blame this restaurant management because many times directly order this restaurant

Some of order faced same issue, same issue today those restaurant guy did today

Please take it serious action against them they are making fools to customer . 2.  super, yummy. 3. I went on Saturday, almost I wait more than 1.15 min for dinner outside the restaurant and when I asked them how much time it will take, staff reply was mere ko nhi maalum aada ghante bhi lag sakta h ya fir ek ganta very rude behavior the man who stand outside the restaurant who's give the parcel to zomatos guy's .",, Dine-in,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/pillais-cafe-1-kharghar-navi-mumbai,"Shop 13, Plot 83, Balaji Heritage, Sector 11, Kharghar, Navi Mumbai",Pillai's Café,Yes,No,N/A,4,N/A,440,9.17E+11,"Kharghar, Navi Mumbai",South Indian restaurant,"Recommended ,Idli / Wada ,Dosa ,Parota Special,Veg Starters ,Non Veg Starters ,Rice ,Biryani ,Pillai's Café Traditional Curries ,Pillai's Café Refreshing Hot Drinks ,Pillai's Café Refreshing Cold Drinks ,Combo ,Family Packs ,Sweets ,Addon's ,Drinks ,Pillai's Cafe Special Kali (Ragi Ball) .","South Indian, Chinese, Biryani, Beverages",?300 for two people (approx.),"Quantity of gravy wasn’t even enough for a single parotta . 2. Best experience in terms of food and ambience
We ordered masala dosa and lappa chicken parotha with chicken curry and both was delicious
Kudos to the chef for keeping the authenticity of the food
Keep up the good work . 3. It was one of my favourite places earlier..now the quality has degraded and the taste is also becoming bad
Sambar has become worst .",,Dine-in ,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/hotel-navaratna-shree-balaji-kharghar-navi-mumbai,"Plot E/100, Sector 12, Kharghar, Navi Mumbai",Hotel Navaratna Shree Balaji,Yes,No,2.9,4.1,9,694,9.19E+11,"Kharghar, Navi Mumbai",South Indian restaurant,"Recommended ,South Indian ,Special Loni [Makkhan],Drinks (Beverages) .

",South Indian,?150 for two people (approx.),"the delivery boy came really late. I mean,after an hour or so he came to deliver the food,but the food was tasty . 2. #foodiefat - Tried this place for the first time and really loved it specially the loni dosa just wowwww, dosa made with lots of loni it tasted so nice will surely order more from here . 3. Taste is going down day by day since they shifted thier location. Not like before . Getting worse.",, Dine-in,"Kharghar, Navi Mumbai"
https://www.zomato.com/mumbai/hotel-sai-pooja-kharghar-navi-mumbai,"13 - 15, Crystal Plaza, Hiranandani Complex, Sector 7, Kharghar, Navi Mumbai",Hotel Sai Pooja,Yes,No,3.1,3.9,178,2705,9.20E+11,"Kharghar, Navi Mumbai",Restaurant,"Recommended ,Snacks ,South Indian ,Fasting Specials ,Main Course ,Breads ,Rice and Biryani ,Soups,Chinese ,Fried Rice and Noodles ,Pizza ,Sandwiches ,Pav Bhaji ,Accompaniments ,Desserts and Beverages .","South Indian, Chinese, North Indian, Sandwich, Beverages, Desserts, Fast Food, Shake",?500 for two people (approx.),"hard to chew.
no softness . 2 . Testless 3.I had clearly mentioned that the items specially vada sambhar and dosa should be hot...but it is not it seems they have given the morning food only..not acceptable .",, Dine-in ,"Kharghar, Navi Mumbai"
